Date,mouse_number,genotype,cagemate_number,Total hard food consumed (g),Time of weight / food check (HH:MM),Sex
12/12/2019,2,Prrxl1WT,,4.1,17:49:00,M
12/12/2019,3,Prrxl1WT,5,2.3,18:10:00,F
12/12/2019,12,Prrxl1KO,,4.5,18:01:00,F
12/12/2019,8,Prrxl1WT,7,3.75,17:58:00,M
12/12/2019,15,Prrxl1KO,16,3.95,18:06:00,F
12/12/2019,16,Prrxl1KO,15,3.95,18:06:00,F
12/13/2019,2,Prrxl1WT,,3.7,21:40:00,M
12/13/2019,3,Prrxl1WT,5,0.5,21:54:00,F
12/13/2019,12,Prrxl1KO,,2.9,21:48:00,F
12/13/2019,8,Prrxl1WT,7,1.6,21:44:00,M
12/13/2019,15,Prrxl1KO,16,1.65,21:52:00,F
12/13/2019,16,Prrxl1KO,15,1.65,21:50:00,F
12/14/2019,2,Prrxl1WT,,5,13:05:00,M
12/14/2019,3,Prrxl1WT,5,2.85,13:24:00,F
12/14/2019,12,Prrxl1KO,,3.4,13:14:00,F
12/14/2019,8,Prrxl1WT,7,2.75,13:10:00,M
12/14/2019,15,Prrxl1KO,16,3.05,13:18:00,F
12/14/2019,16,Prrxl1KO,15,3.05,13:17:00,F
12/15/2019,2,Prrxl1WT,,5.3,17:44:00,M
12/15/2019,3,Prrxl1WT,5,1.55,16:23:00,F
12/15/2019,12,Prrxl1KO,,1.9,13:34:00,F
12/15/2019,8,Prrxl1WT,7,1.5,18:21:00,M
12/15/2019,15,Prrxl1KO,16,3.25,14:54:00,F
12/15/2019,16,Prrxl1KO,15,3.25,14:53:00,F
12/16/2019,2,Prrxl1WT,,5.7,14:37:00,M
12/16/2019,8,Prrxl1WT,7,3.05,13:40:00,M
12/16/2019,15,Prrxl1KO,16,1.95,10:15:00,F
