mouse_number,genotype,session_number,trial_number,Sex,contact_detach_timestamps_milliseconds
11,Prrxl1KO,3,11,M,"[   1  267  480  508  629  726  869 1024 1075 1213 1270 1337 1388 1473
 1524 1588 1840 1924 1980 2088 3836 3879 3912 4081 4327 4349 4469 4500
 4598 4636 4886 5054]"
11,Prrxl1KO,3,12,M,"[  -1 1652 1697 1735 2235 2283 2386 2439 2576 2619 2651 2673 2706 2825
 2884 2950 3010 3096 3135 3410 3558 3597 3871 3951 3993 4113 4157 4206
 4240 4309 4384 4486 4520 4632 4942]"
11,Prrxl1KO,3,13,M,[-50   1 475]
11,Prrxl1KO,3,14,M,"[   0   40  215  352 1037 1095 1197 1225 1333 1364 1467 1533 1605 1648
 1756 1783 1858 1921 2019 2057 2129 2188 2220 2269 2301 2452 2490 2663
 2936 2974 3031 3104 3187 3427 5001]"
11,Prrxl1KO,3,15,M,"[   0   74  162  183  310  636  760  851  873 2205 2243 2345 2414 2648
 2787 2820 2889 2950 3175 3293 3320 3394]"
11,Prrxl1KO,3,16,M,"[   1   43   72  167 1834 1946 2297 2319 2405 2459 2494 2629 2991 3051
 3249 3421]"
11,Prrxl1KO,3,17,M,"[   1   23  321  436  966 1081 1148 1207 1297 1324 1410 1448 1562 1590
 1684 1723 4859 4901 4970]"
11,Prrxl1KO,3,18,M,"[ -62    1   98  143  313  375  514  708  751  820  891  929  998 1059
 1082 1197 1228 1307 1404]"
11,Prrxl1KO,3,19,M,"[  -1   23  309  384  758  785 3554 3722 4061 4083 4219 4247 4313 4531
 4628 4650 4708 4783 4869 4913]"
11,Prrxl1KO,3,20,M,"[ -26   26   99  152  192  303  536  565  650  738  788  853 1084 1137
 1716 1769 1815 1889 2048 2240 2273 2358 2858 2903 3085 3161 3364 3427
 3534 3557 3636 3687 3789 3817 4853 4922]"
11,Prrxl1KO,3,21,M,"[ -27   20  113  150  234  373  446  520  574  797  848  881  927 1056
 1088 1151 1213 1297 1366 1418 1515]"
11,Prrxl1KO,3,22,M,"[   1   38   84  231  879  963  992 1125 1421 1483 1551 1630 1702 1778
 1833 1897 2005 2026 2089 2151 2224 2277 2361 2389 2632 2659 2693 2725
 2883 2937 3050 3072 3129 3208 3300 3358 3478 3516]"
11,Prrxl1KO,3,23,M,"[  -1   27   73   95  157  231  591  615  649  866  946  999 1093 1177
 1221 1274 1376 1405 1461 1518 1615 1812 1863 1932 2012 2069 2196 2341
 2398 2481 2686 2769 2814 2861 2958 2995 3380 3406 3462 3521 3624 3655
 3752 3794 3817 3960 3999 4083]"
11,Prrxl1KO,3,24,M,"[   1   56  101  144  217  278  664  697 1005 1073 1171 1203 1311 1350
 1406 1508 3661 3705 3908 3998 4032 4094 4161 4218 4579]"
11,Prrxl1KO,3,25,M,"[   1   39   95  275  891  918 1054 1076 1178 1215 1283 1363 1413 1460
 1682 1719 1787 1849]"
11,Prrxl1KO,3,26,M,"[   1   23  124  302  634  673  740  777  862  899  973 1005 1101 1144
 1205 1263 2304 2327 2498 2566 2629 2672 2781 2818 2919 2952 3157 3231
 3327 3365 3462 3504 3578 3630 3715 3767 3835 3897 3982 4045 4170 4191
 4265 4343]"
11,Prrxl1KO,3,27,M,"[  -1   34  454  503  617  644  781  871 1635 1677 1751 1842 1875 1933
 2013 2065 2185 2208 2309 2351 2401 2429 2468 2520 2762 2784 2921 3023
 3057 3119 3229 3251 3361 3409 3465 3569]"
11,Prrxl1KO,3,28,M,"[   1   28  101  174  310  381  478  541  757  785  882  935  956 1049
 1134 1197 1275 1344]"
11,Prrxl1KO,3,29,M,[   1  108  218  357  621  653  958 1171 1252 1401 2098 2210 2238 2303]
11,Prrxl1KO,3,30,M,"[   1   29  211  263  324  367  742  784  990 1032 1129 1171 1256 1282
 1380 1411 4676 4734 4802 4859]"
11,Prrxl1KO,3,31,M,[   1   23   74  296  959 1086]
11,Prrxl1KO,3,32,M,"[   1   34  107  135  158  179  518  572 1396 1443 1515 1592 1636 1675
 1743 1790 1870 1927 2017 2049 2123 2180 2449 2508 2574 2643 2733 2776
 2855 2902 2977 3029 3096 3159 3242 3281 3371 3404 3465 3534 3590 3646
 3760 3787 3883 3946 4009 4075 4325 4348 4415 4478 4545 4751 4836 4878]"
11,Prrxl1KO,3,33,M,"[ -27   27   99  157  237  264  811  848  963  984 1074 1158 1180 1282
 1332 1365 1427 1489 1585 1667 1713 1760 1856 1889 1973 2031 2116 2168
 2264 2311 2368 2468 2501 2728 2836 2893 3017 3056 3123 3181 3254 3317
 3432 3458]"
11,Prrxl1KO,3,34,M,"[   1   34  113  239 2321 2456 2487 2557 2613 2687 2777 2809 2872 2949
 3143 3200 3268 3357 3435 3486 3576 3609 3687 3745 3862 3891 3993 4030
 4126 4240 4285 4333 4456 4489 4580 4633 4739 4773 4835 4857]"
11,Prrxl1KO,3,35,M,"[   1   32   90  223  792  816 1011 1065 1103 1142 1286 1324 1431 1454
 1520 1589 1650 1759 1929 1973 2080 2113 2210 2258 2331 2389 2467 2521
 2615 2664 4213 4271 4338 4396 4642 4670 4743 4823 4861]"
11,Prrxl1KO,3,36,M,"[ -72    1   86  183  226  311  339  509  594  638  700 1293 1315 1531
 1554 1655 1704 1889 1946 2043 2080 2153 2221 4061 4094 4447 4495 4585
 4617 4686 4748]"
11,Prrxl1KO,3,37,M,"[   1   23   79  256 1093 1121 1143 1191 1272 1310 1372 1431 1528 1571
 1639 1721 1795 1865 2353 2476 2589 2618]"
11,Prrxl1KO,3,38,M,"[   0   58  115  243  552  584 1000 1087 1138 1190 1270 1322 1418 1460
 1569 1590 1664 1726 1829 1862]"
11,Prrxl1KO,3,39,M,"[   1   64  104  182 1081 1103 1239 1272 1351 1403 1488 1520 3996 4097
 4136 4188 4255 4318 4384 4447 4664 4705 4778 4845 4929]"
11,Prrxl1KO,3,40,M,"[ -50    1   65  191  218 1976 2064 2085 2127 2327 2369 2464 2496 2709
 2740 2802 2882 2921]"
11,Prrxl1KO,3,41,M,[   1  536 2935 5103]
11,Prrxl1KO,3,42,M,[  1 385]
11,Prrxl1KO,3,43,M,"[   1   34  170  214  242  317  362  415  489  536  724  788  861  919
 1009 1061 1255 1305 1390 1437 1528 1594 1650 1737 1770 1833 2080]"
11,Prrxl1KO,3,44,M,"[   1   58  138  195 2223 2351 2609 2651 2717 2777 2871 2905 2972 3026
 3098 3146 3335 3403 3482 3520 3934 3955 4035 4093 4206 4238]"
11,Prrxl1KO,3,45,M,"[   0   49  122  170  763  816  942 1006 1096 1124 1202 1250 1323 1376
 1460 1508 1586 1640 1954 2003 2061 2118 2347 2375 2477 2524 2841 2879
 3117 3151 3235 3295 3414 3442]"
11,Prrxl1KO,3,46,M,[   0  204 1547 1585 1613 1698 1909 1942 4884]
11,Prrxl1KO,3,47,M,[ -72    1   53  357  409  674  722  789  836  923  965 1050]
11,Prrxl1KO,3,48,M,[  1  53 138]
11,Prrxl1KO,3,49,M,[   1   64  329  392  732  832 1252 1279 1353 1411]
11,Prrxl1KO,3,50,M,"[   1   50  124  231 3763 3806 3867 4115 4152 4204 4264 4316 4389 4526
 4678 4730]"
11,Prrxl1KO,3,51,M,"[   1   58  113  176  756  828  907  939 1145 1192 1264 1326 1396 1481
 1520 1597 1785 1943 2011 2073 2146 2198 2239 2267 2398 2440 2501 2578
 2640 2707 2776 2832 2911 2969 3597 3658 3726 3825 3863 3942 4003 4050
 4140 4347 4425 4483 4567 4619]"
11,Prrxl1KO,3,52,M,"[  -1   72   92  173 1203 1345 1539 1567 1634 1686 1902 1983 2005 2066
 2145 2187]"
11,Prrxl1KO,3,53,M,"[   1   64  120  249  507  613  680  732  817  859 1059 1117 1151 1215
 1673 1737 1771 1860 1899 1956 4864 4922]"
11,Prrxl1KO,3,54,M,[ -28  167  379  571  873 1075 1384 1448 1492 1544]
11,Prrxl1KO,3,55,M,"[   1   43   88  161  436  488  567  752  801  855 3518 3540 3601 3664
 3726 3787 3855 3926 3963 4017 4082 4131 4228 4249 4284 4406 4456 4503
 4571 4633 4706 4780]"
11,Prrxl1KO,3,56,M,"[   1   28  532  617  667  705  784  831  923  954 3368 3430 3492 3549
 3623 3681 3744 3826 3858 3900 3979 4021]"
11,Prrxl1KO,3,57,M,"[   1   48  114  163  403  455  529  561  628  707  751  824 3344 3375
 3436 3515 3605 3647 3707 3766 3856 3883 3956 3998 4077 4114 4416 4463
 4530 4602]"
11,Prrxl1KO,3,58,M,[  1  32 112 210 514 591 764]
11,Prrxl1KO,3,59,M,"[   1   44  111  186  323  382  426  468  530  577  644  691 3338 3401
 3462 3537 3579 3671 3700 3757 3927 3974 4059 4101]"
11,Prrxl1KO,3,60,M,"[   1   24   69  136  278  349  742  764  986 1018 1102 1149 3256 3310
 3406 3444 3545 3612 3657]"
11,Prrxl1KO,3,61,M,[  1  48 127 197 420]
11,Prrxl1KO,3,62,M,"[   1   48  110  183  321  529  600  662  688  777  821 3590 3617 3673
 3735 3791 3865 3920 4048 4074 4143 4741 4769 4863 4887 4953]"
11,Prrxl1KO,3,63,M,"[ -77    1  129  232  846  908  965 1033 1126 1175 1222 1717 1780 1825
 1883 1985 2120]"
11,Prrxl1KO,3,64,M,[   1   48  111  178  321  820  909  938 1356 1410 1472]
11,Prrxl1KO,3,65,M,[   1   88  110 1410]
11,Prrxl1KO,3,66,M,[   1  130 2061 4179]
11,Prrxl1KO,3,67,M,"[   1   69 2228 2362 2609 2657 4350 4444 4505 4568 4629 4682 4755 4802
 4876]"
11,Prrxl1KO,3,68,M,"[ -84    1   43  116  196  247  300  448  491  558  790  810  854  934
  971 1050 1097 1182 1214 1294 1336 1416 1458 1548 1630 1661 1714 1810
 1858 1931 1978 2281 2313 2387 2434 2523 2557 2694 2721 2781 2839 2900
 2958]"
11,Prrxl1KO,3,69,M,"[   1   33   72  135  323  394  652  705  779  832 3344 3483 3540 3598
 3688 3715 3742 3870 3915 3974 4045 4082 4151 4188 4256 4304 4387 4459
 4492 4534 4706 4763 4813 4907 4963 5042]"
11,Prrxl1KO,3,70,M,[   1  103 2418 2536 2814 2843 2872 3204 3281 3335]
11,Prrxl1KO,3,71,M,"[   1   45   66  136  192  294  328  382  449  509  546  615 2992 3044
 3111 3149 3239 3386 3476 3504 3690 3743]"
11,Prrxl1KO,3,72,M,"[   1   53  386  423 3594 3622 3666 3757 3782 3831 4122 4164 4237 4270
 4298 4321 4354 4418 4452 4504]"
11,Prrxl1KO,3,73,M,[   1   28   94  142 4145 4191 4259 4298 4359 4391 4649 4675 4760 4788]
11,Prrxl1KO,3,74,M,[1]
11,Prrxl1KO,3,75,M,[   1 1870]
11,Prrxl1KO,3,76,M,[   1   44 1161 1199 1995 2042]
11,Prrxl1KO,3,77,M,[   1  148  510  543 4367 4409 4610]
11,Prrxl1KO,3,78,M,[  1  48 369 411]
11,Prrxl1KO,3,79,M,[  1  29 569]
11,Prrxl1KO,3,80,M,[1]
11,Prrxl1KO,3,81,M,[ 0 66]
11,Prrxl1KO,3,82,M,[1]
11,Prrxl1KO,3,83,M,[  1 391]
11,Prrxl1KO,3,84,M,[  0 157]
11,Prrxl1KO,3,85,M,[  1  23 269 344]
11,Prrxl1KO,3,86,M,[ 1 50]
11,Prrxl1KO,3,87,M,[  1  42 118 170 260 383]
11,Prrxl1KO,3,88,M,[  1  28 263 305 886]
11,Prrxl1KO,3,89,M,[   1  296 2004]
