Date,mouse_number,genotype,Time of weight / food check (HH:MM),Weight (g),Sex
11/23/2019,5,Prrxl1WT,15:51:00,40,F
11/23/2019,6,Prrxl1WT,15:55:00,28,F
11/23/2019,7,Prrxl1WT,15:32:00,42,M
11/23/2019,8,Prrxl1WT,15:32:00,33.4,M
11/23/2019,15,Prrxl1KO,15:45:00,33.7,F
11/23/2019,16,Prrxl1KO,15:45:00,24.3,F
11/24/2019,1,Prrxl1WT,10:14:00,50.5,M
11/24/2019,2,Prrxl1WT,10:20:00,45.3,M
11/24/2019,3,Prrxl1WT,11:41:00,40.4,F
11/24/2019,12,Prrxl1KO,11:15:00,30.4,F
11/24/2019,5,Prrxl1WT,11:39:00,40.7,F
11/24/2019,6,Prrxl1WT,11:44:00,28.9,F
11/24/2019,15,Prrxl1KO,11:35:00,34.3,F
11/24/2019,16,Prrxl1KO,11:19:00,24.7,F
11/25/2019,1,Prrxl1WT,13:56:00,51.8,M
11/25/2019,2,Prrxl1WT,14:02:00,44.5,M
11/25/2019,3,Prrxl1WT,14:56:00,41.4,F
11/25/2019,12,Prrxl1KO,14:42:00,29.7,F
11/25/2019,5,Prrxl1WT,14:54:00,41.6,F
11/25/2019,6,Prrxl1WT,14:58:00,28.4,F
11/26/2019,1,Prrxl1WT,15:48:00,47.8,M
11/26/2019,2,Prrxl1WT,15:51:00,44,M
11/26/2019,3,Prrxl1WT,16:14:00,41.4,F
11/26/2019,5,Prrxl1WT,16:12:00,41.5,F
11/26/2019,6,Prrxl1WT,16:16:00,29.1,F
11/26/2019,7,Prrxl1WT,15:58:00,45.5,M
11/26/2019,8,Prrxl1WT,16:00:00,36.2,M
11/27/2019,1,Prrxl1WT,12:32:00,49.2,M
11/27/2019,2,Prrxl1WT,12:37:00,46,M
11/27/2019,11,Prrxl1KO,12:48:00,27,M
11/27/2019,3,Prrxl1WT,13:28:00,42,F
11/27/2019,5,Prrxl1WT,13:27:00,42,F
11/27/2019,6,Prrxl1WT,13:35:00,28.1,F
11/27/2019,7,Prrxl1WT,12:55:00,44.4,M
11/27/2019,8,Prrxl1WT,12:56:00,35.6,M
11/27/2019,15,Prrxl1KO,13:12:00,33.6,F
11/27/2019,16,Prrxl1KO,13:10:00,25,F
11/28/2019,1,Prrxl1WT,10:28:00,52.5,M
11/28/2019,2,Prrxl1WT,10:31:00,47.7,M
11/28/2019,11,Prrxl1KO,10:39:00,28.2,M
11/28/2019,3,Prrxl1WT,10:58:00,42.3,F
11/28/2019,12,Prrxl1KO,10:48:00,28.9,F
11/28/2019,5,Prrxl1WT,10:57:00,42.1,F
11/28/2019,6,Prrxl1WT,11:02:00,29.4,F
11/28/2019,7,Prrxl1WT,10:42:00,46.4,M
11/28/2019,8,Prrxl1WT,10:43:00,36.5,M
11/28/2019,15,Prrxl1KO,10:54:00,35.4,F
11/28/2019,16,Prrxl1KO,10:52:00,25.9,F
11/29/2019,1,Prrxl1WT,12:29:00,51.7,M
11/29/2019,2,Prrxl1WT,12:32:00,48,M
11/29/2019,11,Prrxl1KO,12:41:00,27.7,M
11/29/2019,3,Prrxl1WT,13:04:00,43,F
11/29/2019,12,Prrxl1KO,12:54:00,28.9,F
11/29/2019,5,Prrxl1WT,13:02:00,41.4,F
11/29/2019,6,Prrxl1WT,13:07:00,28,F
11/29/2019,7,Prrxl1WT,12:47:00,44.3,M
11/29/2019,8,Prrxl1WT,12:48:00,34.9,M
11/29/2019,15,Prrxl1KO,12:58:00,35.7,F
11/29/2019,16,Prrxl1KO,12:57:00,26.1,F
11/30/2019,1,Prrxl1WT,11:09:00,51.6,M
11/30/2019,2,Prrxl1WT,11:12:00,48.6,M
11/30/2019,11,Prrxl1KO,11:39:00,28.3,M
11/30/2019,3,Prrxl1WT,12:02:00,42.7,F
11/30/2019,12,Prrxl1KO,11:52:00,29.7,F
11/30/2019,5,Prrxl1WT,12:01:00,41.5,F
11/30/2019,6,Prrxl1WT,12:06:00,29.9,F
11/30/2019,7,Prrxl1WT,11:41:00,45.7,M
11/30/2019,8,Prrxl1WT,11:43:00,36.2,M
11/30/2019,15,Prrxl1KO,11:57:00,35.6,F
11/30/2019,16,Prrxl1KO,11:55:00,26.9,F
12/1/2019,1,Prrxl1WT,14:03:00,51.5,M
12/1/2019,2,Prrxl1WT,14:06:00,43.5,M
12/1/2019,11,Prrxl1KO,14:27:00,28.5,M
12/1/2019,3,Prrxl1WT,14:56:00,41.7,F
12/1/2019,12,Prrxl1KO,14:43:00,29.5,F
12/1/2019,5,Prrxl1WT,14:55:00,41.4,F
12/1/2019,6,Prrxl1WT,15:01:00,28.1,F
12/1/2019,7,Prrxl1WT,14:33:00,45.1,M
12/1/2019,8,Prrxl1WT,14:35:00,35.3,M
12/1/2019,15,Prrxl1KO,14:49:00,34.8,F
12/1/2019,16,Prrxl1KO,14:46:00,27,F
12/2/2019,1,Prrxl1WT,13:45:00,52.3,M
12/2/2019,2,Prrxl1WT,13:49:00,46.4,M
12/2/2019,11,Prrxl1KO,14:01:00,28.2,M
12/2/2019,3,Prrxl1WT,14:53:00,41.8,F
12/2/2019,12,Prrxl1KO,14:38:00,30.3,F
12/2/2019,5,Prrxl1WT,14:51:00,41.6,F
12/2/2019,6,Prrxl1WT,14:56:00,28.4,F
12/2/2019,7,Prrxl1WT,14:08:00,46.6,M
12/2/2019,8,Prrxl1WT,14:13:00,35.6,M
12/2/2019,15,Prrxl1KO,14:45:00,34.6,F
12/2/2019,16,Prrxl1KO,14:43:00,26.4,F
12/3/2019,1,Prrxl1WT,10:36:00,50.2,M
12/3/2019,2,Prrxl1WT,10:40:00,48.3,M
12/3/2019,11,Prrxl1KO,10:48:00,28.5,M
12/3/2019,3,Prrxl1WT,12:33:00,42.2,F
12/3/2019,12,Prrxl1KO,10:59:00,29.7,F
12/3/2019,5,Prrxl1WT,12:32:00,42.2,F
12/3/2019,6,Prrxl1WT,12:38:00,28.7,F
12/3/2019,7,Prrxl1WT,10:52:00,46,M
12/3/2019,8,Prrxl1WT,10:53:00,35.7,M
12/3/2019,15,Prrxl1KO,12:27:00,34.7,F
12/3/2019,16,Prrxl1KO,12:29:00,26.7,F
12/4/2019,1,Prrxl1WT,13:44:00,52,M
12/4/2019,2,Prrxl1WT,13:49:00,46.7,M
12/4/2019,11,Prrxl1KO,13:58:00,27.2,M
12/4/2019,3,Prrxl1WT,14:19:00,40.3,F
12/4/2019,12,Prrxl1KO,14:11:00,29.7,F
12/4/2019,5,Prrxl1WT,14:18:00,41.2,F
12/4/2019,6,Prrxl1WT,14:21:00,28,F
12/4/2019,7,Prrxl1WT,14:04:00,46.4,M
12/4/2019,8,Prrxl1WT,14:05:00,36,M
12/4/2019,15,Prrxl1KO,14:14:00,34,F
12/4/2019,16,Prrxl1KO,14:15:00,26.1,F
12/5/2019,1,Prrxl1WT,17:15:00,48.2,M
12/5/2019,2,Prrxl1WT,17:18:00,46,M
12/5/2019,11,Prrxl1KO,17:27:00,27.8,M
12/5/2019,3,Prrxl1WT,17:49:00,40.1,F
12/5/2019,12,Prrxl1KO,17:38:00,30.3,F
12/5/2019,5,Prrxl1WT,17:48:00,40.9,F
12/5/2019,6,Prrxl1WT,17:55:00,28.3,F
12/5/2019,7,Prrxl1WT,17:31:00,44.8,M
12/5/2019,8,Prrxl1WT,17:32:00,34.2,M
12/6/2019,1,Prrxl1WT,12:58:00,51.1,M
12/6/2019,2,Prrxl1WT,13:03:00,48,M
12/6/2019,11,Prrxl1KO,13:14:00,27.3,M
12/6/2019,3,Prrxl1WT,13:46:00,41.1,F
12/6/2019,12,Prrxl1KO,13:34:00,29,F
12/6/2019,5,Prrxl1WT,13:43:00,41.9,F
12/6/2019,6,Prrxl1WT,13:47:00,30.3,F
12/6/2019,7,Prrxl1WT,13:22:00,47.3,M
12/6/2019,8,Prrxl1WT,13:21:00,36.2,M
12/7/2019,1,Prrxl1WT,15:11:00,52.2,M
12/7/2019,2,Prrxl1WT,15:15:00,46.5,M
12/7/2019,11,Prrxl1KO,15:29:00,28.1,M
12/7/2019,3,Prrxl1WT,15:57:00,40.8,F
12/7/2019,12,Prrxl1KO,15:42:00,29.5,F
12/7/2019,5,Prrxl1WT,15:56:00,41.5,F
12/7/2019,6,Prrxl1WT,16:01:00,28.8,F
12/7/2019,7,Prrxl1WT,15:34:00,46.3,M
12/7/2019,8,Prrxl1WT,15:37:00,35.8,M
12/7/2019,15,Prrxl1KO,15:52:00,35,F
12/7/2019,16,Prrxl1KO,15:51:00,27.4,F
12/8/2019,1,Prrxl1WT,16:48:00,49.3,M
12/8/2019,2,Prrxl1WT,16:53:00,46.3,M
12/8/2019,11,Prrxl1KO,17:01:00,29.9,M
12/8/2019,3,Prrxl1WT,17:24:00,42.3,F
12/8/2019,12,Prrxl1KO,17:15:00,30.5,F
12/8/2019,5,Prrxl1WT,17:23:00,42.4,F
12/8/2019,6,Prrxl1WT,17:28:00,29.1,F
12/8/2019,7,Prrxl1WT,17:05:00,46.7,M
12/8/2019,8,Prrxl1WT,17:06:00,35.7,M
12/8/2019,15,Prrxl1KO,17:20:00,34.4,F
12/8/2019,16,Prrxl1KO,17:19:00,27.1,F
12/9/2019,1,Prrxl1WT,10:14:00,52.8,M
12/9/2019,2,Prrxl1WT,10:16:00,46.6,M
12/9/2019,11,Prrxl1KO,10:18:00,30.8,M
12/9/2019,3,Prrxl1WT,10:26:00,41.7,F
12/9/2019,12,Prrxl1KO,10:22:00,30.9,F
12/9/2019,5,Prrxl1WT,10:25:00,41.7,F
12/9/2019,6,Prrxl1WT,10:27:00,30.2,F
12/9/2019,7,Prrxl1WT,10:19:00,47.8,M
12/9/2019,8,Prrxl1WT,10:20:00,36.8,M
12/9/2019,15,Prrxl1KO,10:24:00,35.6,F
12/9/2019,16,Prrxl1KO,10:23:00,28.3,F
12/10/2019,1,Prrxl1WT,16:04:00,54.3,M
12/10/2019,2,Prrxl1WT,16:09:00,48.6,M
12/10/2019,11,Prrxl1KO,16:22:00,30.2,M
12/10/2019,3,Prrxl1WT,16:54:00,41.8,F
12/10/2019,12,Prrxl1KO,16:35:00,31,F
12/10/2019,5,Prrxl1WT,16:53:00,42.4,F
12/10/2019,6,Prrxl1WT,16:59:00,30.6,F
12/10/2019,7,Prrxl1WT,16:27:00,45.3,M
12/10/2019,8,Prrxl1WT,16:29:00,34.5,M
12/10/2019,15,Prrxl1KO,16:47:00,33.8,F
12/10/2019,16,Prrxl1KO,16:43:00,26.8,F
12/11/2019,1,Prrxl1WT,14:15:00,52.7,M
12/11/2019,2,Prrxl1WT,14:20:00,46.3,M
12/11/2019,11,Prrxl1KO,14:27:00,28.6,M
12/11/2019,3,Prrxl1WT,14:47:00,42.5,F
12/11/2019,12,Prrxl1KO,14:37:00,30.8,F
12/11/2019,5,Prrxl1WT,14:46:00,42.9,F
12/11/2019,6,Prrxl1WT,14:49:00,30.4,F
12/11/2019,7,Prrxl1WT,14:30:00,47.8,M
12/11/2019,8,Prrxl1WT,14:32:00,36.4,M
12/11/2019,15,Prrxl1KO,14:42:00,33.3,F
12/11/2019,16,Prrxl1KO,14:41:00,26.3,F
12/12/2019,1,Prrxl1WT,17:46:00,53.7,M
12/12/2019,2,Prrxl1WT,17:49:00,44.9,M
12/12/2019,11,Prrxl1KO,17:53:00,20.4,M
12/12/2019,3,Prrxl1WT,18:10:00,41.9,F
12/12/2019,12,Prrxl1KO,18:01:00,30.9,F
12/12/2019,6,Prrxl1WT,18:14:00,28.9,F
12/12/2019,8,Prrxl1WT,17:58:00,35.4,M
12/12/2019,15,Prrxl1KO,18:06:00,34.1,F
12/12/2019,16,Prrxl1KO,18:06:00,26.9,F
12/13/2019,2,Prrxl1WT,21:40:00,43.6,M
12/13/2019,3,Prrxl1WT,21:54:00,41.2,F
12/13/2019,12,Prrxl1KO,21:48:00,31.2,F
12/13/2019,8,Prrxl1WT,21:44:00,36.4,M
12/13/2019,15,Prrxl1KO,21:52:00,33.3,F
12/13/2019,16,Prrxl1KO,21:50:00,26.4,F
12/14/2019,2,Prrxl1WT,13:05:00,49.2,M
12/14/2019,3,Prrxl1WT,13:24:00,39.1,F
12/14/2019,12,Prrxl1KO,13:14:00,32.5,F
12/14/2019,8,Prrxl1WT,13:10:00,39.3,M
12/14/2019,15,Prrxl1KO,13:18:00,33.5,F
12/14/2019,16,Prrxl1KO,13:17:00,27.4,F
12/15/2019,2,Prrxl1WT,17:44:00,46,M
12/15/2019,3,Prrxl1WT,16:23:00,41.8,F
12/15/2019,12,Prrxl1KO,13:34:00,32.3,F
12/15/2019,8,Prrxl1WT,18:21:00,36.1,M
12/15/2019,15,Prrxl1KO,14:54:00,33.3,F
12/15/2019,16,Prrxl1KO,14:53:00,27.1,F
12/16/2019,2,Prrxl1WT,14:37:00,49.5,M
12/16/2019,3,Prrxl1WT,11:26:00,41.8,F
12/16/2019,12,Prrxl1KO,8:21:00,31.9,F
12/16/2019,8,Prrxl1WT,13:40:00,36.6,M
12/16/2019,15,Prrxl1KO,10:15:00,34.3,F
12/16/2019,16,Prrxl1KO,10:13:00,27.8,F
12/17/2019,2,Prrxl1WT,20:10:00,49.4,M
12/17/2019,8,Prrxl1WT,20:17:00,38.7,M
12/17/2019,15,Prrxl1KO,20:20:00,32.6,F
